0,Alstahaug kino,Torulfsgt. 32,8800,Sandnessjøen,kino@alstahaug.kommune.no
1,Alta: Aurora Kino,Markedsgata 3,9510,Alta,david@aurorakino.no
2,Alvdal Kino,Nyborg,2560,Alvdal,bente.linjordet@alvdal.kommune.no
3,Arendal: Kino 1 AS,Friergangen 2,4836,Arendal,erlend@arendalkino.no
4,Asker: Norsk Kino,Strøket 15A,1383,Asker,morten@norsk-kino.no
5,Askim: Norsk kino,Kirkegata 5 ,1807,Askim,senterleder.askim@norsk-kino.no
6,Aurland: Trudvang kino,Rådhuset,5745,Aurland,terje.horvei@aurland.kommune.no
7,Balestrand: Friberg kino,Lærargt. 39,6899,Balestrand,m.sande@online.no
8,Bardufoss: Heggelia Kino,Kapellveien 2,9325,Bardufoss,kellewsen@fms.mil.no
9,"Bergen, Konsertpaleet",Neumannsgt. 3,5015,Bergen,andreas@bergenkino.no
10,"Bergen, Magnus Barfot ",Magnus Barfotsgt. 12,5015,Bergen,andreas@bergenkino.no
11,Berlevåg komm. kino,"Samfunnsgata
",9980,Berlevåg,frank.arne.hansen@berlevag.kommune.no
12,"Bodø, Fram kino AS",Storgt. 8 ,8001,Bodø,post@framkino.no
13,Brandbu Kino,Storlinna 25,2760,Brandbu,Knut.Andre.Bjerke@gran.kommune.no
14,Bremanger kino,Bremanger,6727,Bremanger,ole_grotle@hotmail.com
15,"Bryne, Storstova på Jæren",A. Garborgsv. 32,4340,Bryne,erlend@storstova.com
16,Brønnøy komm. kino,Rådhuset,8905,Brønnøysund,john.a.lorentzen@bronnoy.kommune.no
17,Bygdekinoen Film & Kino,Dronningsgt. 16,104,Oslo,anne-marie@kino.no
18,Bygdheim kino,Midsund,6475,Midsund,larsjarle@jenset.org
19,Bø i Vesterålen: Skagen kino,Skagenveien,8470,Bø i Vesterålen,gundar.jakobsen@vkbb.no
20,"Bø kino, Telemark",Gullbringvegen 34,3800,Bø i Telemark,anita.kristensen@bo.kommune.no
21,Bømlo kino,Kulturhuset,5430,Bremnes,hannejacobsen@bomlokulturhus.no
22,Båtsfjord Komm. Kino,Hindbeggt. 18,9990,Båtsfjord ,tony.petterson@batsfjord.kommune.no
23,Dokka: Sentrum Kino,Storgata 28,2870,Dokka,svein.ladehaug@nordre-land.kommune.no
24,Dombås Kino,Kinoen,2660,Dombås,ove.vadet@fjellnett.no
25,Drammen: KinoCity,Bragernes torg 2A,3017,Drammen,che@kinocity.no
26,Drangedal: Tokestua kino,Gudbrandsveien 7,3750,Drangedal,okhj@drangedal.kommune.no
27,Drøbak Kino,Rådhusvn. 6,1440,Drøbak,paal.andresen@frogn.kommune.no
28,Egersund komm. kino,Pb. 580,4379,Egersund,kari.reianes.spangen@eigersund.kommune.no
29,Eid kino,Operahuset Nordfjord,6770,Nordfjordeid,elin.paulsen@operahuset.no
30,Eidfjord komm. kino,Simadalsveien 1,5783,Eidfjord,kari.vambheim@eidfjord.kommune.no
31,Eidsberg Kino,Ordf. Voldsensvei 3,1850,Mysen,ingun.fjellstad@eidsberg.kommune.no
32,Eikangervåg: Nyheim kino,Fammestad,5913,Eikangervåg,arnlbjoe@online.no
33,Elverum Komm. Kino,Storgt. 18,2418,Elverum,mette.kynsveen@elverum.kommune.no
34,Etne kino,Enge,5590,Etne,etnekino@etne-kulturhus.no
35,Fagernes: Kvitvella kino,Kulturhuset,2900,Fagernes,Aud.Aastveit@nord-aurdal.kommune.no
36,Farsund Komm Kino,Sundeveien 14,4553,Farsund,pb@krskino.no
37,Fauske Komm. Kino,Torggata 11,8200,Fauske,Stig.Lovseth@fauske.kommune.no
38,Finnsnes Kino,Rådhusvn. 8,9306,Finnsnes,kayerling.ludvigsen@lenvik.kommune.no
39,Fjaler kino,Longehojen,6963,Dale i sunnfjord,kare.antonisen@enivest.net
40,Flekkefjord komm. kino,Elvegt. 1,4400,Flekkefjord,torhild.svege@flekkefjord.kommune.no
41,Flisa: Rådhuskinoen,Rådhusgata 1,2270,Flisa,Odd.Skramstad@asnes.kommune.no
42,Flora komm. kino,Markegata 51,6900,Florø,ingvar.hopland@flora.kommune.no
43,Folldal komm. kino,Folldal,2580,Folldal,Ronny.Bekken.Larsen@folldal.kommune.no
44,Fosnavåg: Herøy kino,Fosnavåg,6990,Fosnavåg,bjorn.holum@heroy.kommune.no
45,Fredrikstad Kino,Nygaardsgaten 16,1606,Fredrikstad,josj@fredrikstad.kommune.no
46,Frøya Kino,Kulturhuset,7261,Siristanda,jaelven@gmail.com
47,Førde: Kino Førde,Angedalsvegen 5,6800,Førde,Torhild.Vie@forde.kommune.no
48,Geilo Komm. Kino,Geilo,3580,Geilo,post@geilokino.net
49,Gjøvik Kino,Strandgata 15,2815,Gjøvik,marit.bratland@gjovik.kommune.no
50,Glomfjord kino,Gammelveien 5,8150,Glomfjord,tronarnt@hotmail.com
51,Gloppen komm. kino,Grandavegen,6823,Gloppen,kjersti.ronningen@gloppen.kommune.no
52,Grimstad Komm. Kino,Storgt 33,4876,Grimstad ,rolf@kinosor.no
53,Grong Kino,Mediå ,7870,Grong,kino@grong.kommune.no
54,"Halden, Alladin kino",Tordenskjoldsgate 1,1776,Halden,clas@norsk-kino.no
55,Hamar Kino KF,Torgg 91 Folkets Hus,2317,Hamar,espen@hamarkino.no
56,"Hammerfest Kino, Arktisk kultursenter",Strandgata 30,9615,Hammerfest,stig.orjan.larsen@hammerfest.kommune.no
57,Haram kino,Bernt Hildreveg 2,6270,Brattvåg,hans@idhuset.no
58,Harstad Kino,Erlingsgt. 3.,9480,Harstad,knut.tore@harstadkino.no
59,Haugesund: Edda Kino,Sørhauggt. 183,5525,Haugesund,edda@haugesund.kommune.no
60,Hemsedal Kino,Hemsedal,3660,Hemsedal,hemsedal_kino@hotmail.com
61,Hitra Kino,Hitra,7240,Hitra,kino@hitra.kommune.no
62,Horten: Norsk Kino,Torggata 2,3181,Horten,andre@norsk-kino.no
63,Hønefoss: Norsk Kino,Hønefoss Bru 3 ,3510,Hønefoss,jannik@norsk-kino.no
64,Høyanger komm. kino,Pb. 159,6991,Høyanger,angelika.ludwig@hoyanger.kommune.no
65,Høybuktmoen mil. kino (GSV),Garnisonen i Sør-Varanger,9900,Kirkenes,kellewsen@fms.mil.no
66,Karmøy komm. kino AS,Box 53,4291,Kopervik,adm@karmoykino.no
67,Kirkenes: Aurora Kino,Pasvikveien 2,9900,Kirkenes,david@aurorakino.no
68,Kjøllefjord kino,Strandveien 152 ,9790,Kjøllefjord,silje.grevsnes@lebesby.kommune.no
69,KNM Harald Haarfagre,Madlaveien 345,4045,Hafrsfjord,kellewsen@fms.mil.no
70,Kolben,Strandliveien 1,1410,Kolbotn,Lena.Sunnby@oppegard.kommune.no
71,Kolvereid kino,Idrettsveien 1,7970,Kolvereid,kolvereid.kino@naroy.kommune.no 
72,Kongsberg kino,Nymoens Torg 3,3611,Kongsberg,kino@kongsberg.kommune.no
